Match,Sport,League,Home Team,Away Team,Home Odds,Draw Odds,Away Odds,Start Time,Venue
England vs South Africa,Cricket,England vs South Africa,England,South Africa,1.511,25.0,2.647,2025-09-14 19:30:00,Nottinghamshire Spots Club (Nottingham)
Caribbean Premier League,Cricket,Caribbean Premier League,Guyana Amazon Warriors,Barbados Royals,1.622,25.0,2.333,2025-09-15 05:00:00,Providence Stadium (Georgetown)
England. Premier League,Football,England. Premier League,Burnley,Liverpool,8.7,5.52,1.369,2025-09-14 19:00:00,Turf Moor (Burnley)
England. Premier League,Football,England. Premier League,Manchester City,Manchester United,1.783,4.155,4.455,2025-09-14 21:30:00,Etihad (Manchester)
Germany. Bundesliga,Football,Germany. Bundesliga,St. Pauli,Augsburg,2.142,3.565,3.73,2025-09-14 19:30:00,Millerntor (Hamburg)
Germany. Bundesliga,Football,Germany. Bundesliga,Borussia Monchengladbach,Werder Bremen,1.986,4.295,3.58,2025-09-14 21:30:00,Borussia-Park (Monchengladbach)
Spain. La Liga,Football,Spain. La Liga,Celta,Girona,1.669,4.25,5.53,2025-09-14 18:00:00,Balaídos (Vigo)
France. Ligue 1,Football,France. Ligue 1,Paris Saint-Germain,RC Lens,1.397,5.79,7.85,2025-09-14 21:15:00,Parc des Princes (Paris)
UEFA Champions League,Football,UEFA Champions League,Paris Saint-Germain,Atalanta,1.368,5.29,8.15,2025-09-18 01:00:00,Parc des Princes (Paris)
France. Ligue 1,Football,France. Ligue 1,Olympique de Marseille,Paris Saint-Germain,3.895,3.945,1.979,2025-09-22 00:45:00,Velodrome (Marseille)
